ID,CLASS
0,1
1,0
2,1
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,0
11,1
12,0
13,1
14,1
15,0
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,0
25,1
26,0
27,1
28,0
29,0
30,1
31,1
32,1
33,1
34,0
35,1
36,1
37,1
38,1
39,1
40,0
41,1
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,1
50,0
51,0
52,1
53,0
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,1
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,1
86,0
87,1
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,0
125,0
126,0
127,1
128,1
129,0
130,1
131,1
132,1
133,0
134,1
135,0
136,0
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,0
154,0
155,1
156,1
157,1
158,1
159,1
160,1
161,0
162,1
163,0
164,1
165,1
166,0
167,0
168,1
169,1
170,0
171,1
172,1
173,0
174,1
175,0
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,1
193,1
194,0
195,1
196,1
197,0
198,0
199,1
200,1
201,1
202,0
203,0
204,0
205,1
206,1
207,1
208,0
209,1
210,1
211,1
212,1
213,0
214,0
215,0
216,1
217,0
218,0
219,1
220,1
221,1
222,1
223,1
224,1
225,0
226,1
227,1
228,1
229,0
230,0
231,1
232,0
233,1
234,0
235,0
236,0
237,0
238,1
239,0
240,1
241,0
242,1
243,0
244,0
245,1
246,1
247,1
248,0
249,1
250,0
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,0
264,1
265,1
266,1
267,1
268,1
269,1
270,0
271,1
272,1
273,1
274,1
275,1
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,1
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,1
309,0
310,0
311,0
312,0
313,0
314,1
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,0
434,0
435,0
436,1
437,0
438,0
439,0
440,0
441,1
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,1
452,1
453,0
454,1
455,1
456,0
457,0
458,0
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,0
467,1
468,0
469,1
470,1
471,1
472,0
473,0
474,1
475,1
476,1
477,0
478,1
479,0
480,0
481,0
482,1
483,0
484,1
485,0
486,1
487,0
488,1
489,0
490,1
491,1
492,1
493,0
494,1
495,0
496,0
497,0
498,0
499,1
500,0
501,1
502,0
503,0
504,0
505,1
506,1
507,1
508,1
509,0
510,0
511,1
512,0
513,0
514,0
515,1
516,0
517,0
518,0
519,0
520,0
521,0
522,1
523,0
524,1
525,1
526,1
527,1
528,0
529,0
530,1
531,1
532,0
533,0
534,1
535,1
536,0
537,0
538,0
539,0
540,1
541,1
542,0
543,0
544,1
545,0
546,1
547,0
548,1
549,0
550,1
551,1
552,1
553,0
554,1
555,1
556,1
557,1
558,1
559,0
560,0
561,1
562,0
563,1
564,1
565,1
566,1
567,0
568,1
569,1
570,0
571,0
572,0
573,0
574,1
575,1
576,0
577,1
578,1
579,1
580,1
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,0
591,0
592,1
593,1
594,0
595,1
596,0
597,1
598,1
599,0
600,1
601,1
602,0
603,0
604,0
605,0
606,0
607,1
608,1
609,1
610,1
611,0
612,1
613,1
614,0
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,1
623,0
624,1
625,0
626,0
627,1
628,0
629,0
630,1
631,0
632,1
633,1
634,1
635,0
636,1
637,1
638,0
639,1
640,1
641,1
642,1
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,1
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,1
669,0
670,0
671,0
672,1
673,0
674,0
675,0
676,0
677,0
678,1
679,0
680,0
681,0
682,1
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,1
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,1
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,1
751,1
752,1
753,1
754,1
755,1
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,0
790,0
791,0
792,0
793,1
794,1
795,0
796,0
797,0
798,0
